#DESKTOPSTATION,VERSION089,WRITTEN-BY-YAASAN,
TxtCfgLanguageDescription,"Αλλαγή γλώσσας μετά από  επανεκκίνηση",
TxtCfgMultipleScreen,"Πολλαπλές Οθόνες",
TxtCfgScreenNum,"Αρ.Οθονών",
TxtCfgScreen1,"Οθόνη 1",
TxtCfgScreen2,"Οθόνη 2",
TxtCfgScreen3,"Οθόνη 3",
TxtCfgScreen4,"Οθόνη 4",
TxtCfgDCCOption," Επιλογές DCC",
TxtCfgUseDCC,"Χρήση παρελκόμενων DCC",
TxtScrEditOption,"Επεξεργασία εντολών λειτουργίας",
TxtScrEditSpeed,"Ταχύτητα(0-1023)",
TxtScrEditFncNo,"Λειτουργία No",
TxtScrEditFncOnOff,"Λειτουργία  On/Off",
TxtScrEditReplaced,"Αντικατάσταση",
TxtScrEditDirection,"Κατεύθυνση",
TxtScrEditSwitch,"Διακόπτης",
TxtScrEditAccAddress,"Διεύθυνση",
TxtScrEditPower,"Ισχύς",
TxtScrEditWaitTime,"Χρόνος αναμονής",
TxtScrEditLineNum,"Αριθμός γραμμής",
TxtScrEditLabelName,"Όνομα ετικέτας",
TxtScrEditFlagNo,"Σημαία No (0-49)",
TxtScrEditEquivVal,"Τιμή αντιστοιχίας",
TxtScrEditValue,"Τιμή",
TxtMenuAdd,"Πρόσθεση",
TxtMenuEdit,"Επεξεργασία",
TxtMenuDelete,"Διαγραφή",
TxtMenuCopy,"Αντιγραφή",
TxtMenuPaste,"Επικόλληση",
TxtInfoTitle,"Πληροφορίες",
TxtInfoDevices,"Η Συσκευή συνδέεται στο trackbox",
TxtLayoutTitle,"Εφαρμογή επιλογών",
TxtLayoutAccAddr,"Δ/νση παρελκομένων",
TxtLayoutS88Addr,"Δ/νση αισθητήρα S88",
TxtLayoutMean,"Δ/νση 0 σημαίνει μη καταχώρηση",
TxtAccEditTitle,"Επιλογή τύπου παρελκομένου",
TxtAccEditType,"Τύπος παρελκομένου",
TxtAccEditComment,"Σχόλια",
"TxtTriggerTitle","Ιδιότητες ενεργοποίησης",
"TxtTriggerIntervalTitle","Χρόνος παύσης",
"TxtTriggerClockTitle","Χρόνος",
"TxtTriggerCondition","Συνθήκη ενεργοποίησης",
"TxtTriggerOption","Ιδιότητες",
"TxtAppEditor","Ιδιότητες αρχείου",
"TxtAppName","Όνομα εφαρμογής",
"TxtAppFile","Εκτελέσιμο αρχείο",
"TxtAppTarget","Αρχείο εφαρμογής",
"TxtAppParam","Παράμετροι",
"TxtAppDetail","Λεπτομέρειες",
"TxtOpen","Άνοιγμα",
"TxtCfgS88NumOfConnection","Αριθμός σύνδεσης",
"TxtBtnCfgAssignRunFile","Προσάρτηση επιλογής αρχείου",
"TxtBtnCfgAssignFunction","Ανάθεση λειτουργίας",
"TxtItemClock","Ρολόι",
"TxtItemEMGbutton","Πλήκτρο EMG",
"TxtItemAccessories","Παρελκόμενα",
"TxtItemS88sensors","Αισθητήρες S88",
"TxtItemNone","Κανένα",
"TxtItemLocomotive","Μηχανή",
"TxtItemMultipleLocomotives","Πολλαπλές Μηχανές",
"TxtItem6021keypad","Πληκτρολόγιο 6021",
"TxtItemTracklayout","Πλάνο γραμμών",
"TxtItemLearning","Εκμάθηση",
"TxtItemEvent","Συμβάν",
"TxtItemConsole","Κονσόλα",
"TxtSigItemSignal","Σήμα",
"TxtSigItemTurnoutleft","Αριστερή στροφή",
"TxtSigItemTurnoutright","Δεξιά στροφή",
"TxtSigItemDoubleslipswitch","Διακόπτης 2 θέσεων",
"TxtSigItemThreewayturnout","Διπλή στροφή",
"TxtSigItemYardSignal","Σήμα περίβολου",
"TxtSigItemDistantSignal","Απομακρυσμένο σήμα(76383)",
"TxtSigItemHomeSignal76391","Σήμα βάσης(76391)",
"TxtSigItemHomeSignal76393","Σήμα βάσης(76393)",
"TxtSigItemHomeSignal76394","Σήμα βάσης(76394)",
"TxtCondItemEntering","Είσοδος",
"TxtCondItemLeaving","Αναχώρηση",
"TxtCondItemExisting","Υπάρχει ήδη",
"TxtCondItemNotExisting","Δεν υπάρχει",
"TxtCondItemInterval","Διάστημα",
"TxtCondItemClock","Ρολόι",
"TxtCondItemRandom","Τυχαίο",
"TxtCondItemRunning","Λειτουργία",
"TxtCondItemStopping","Σταμάτημα",
"TxtLeverSpeed","Έλεγχος ταχύτητας",
"TxtLeverPower","Έλεγχος ισχύος",
"TxtNotSelected","Ασ'υνδετο",
"TxtRead","Ανάγνωση",
"TxtWrite","Εγγραφή",
"TxtGenerate","Παραγωγή",
"TxtValue","Τιμή",
"TxtCVManualReadWrite","Χειροκίνητη ανάγνωση εγγραφή",
"TxtCVNo","CV No.",
"TxtCV29Calc","CV29 Υπολογισμός",
"TxtCVLocAdrRelated","Σχετικά CVs",
"TxtCVInfo","ΞΗ λειτουργία CV μπορεί να καταστρέχει τον αποκωδικοποιητή, απαιτείται προσοχή!",
"TxtCV29_Bit0","0. Αντίστροφη κατεύθυνση",
"TxtCV29_Bit1","1. 28/128 Βήμα ταχύτητας",
"TxtCV29_Bit2","2. DC Λειτουργικό",
"TxtCV29_Bit3","3. Railcom",
"TxtCV29_Bit4","4. Βραδεία Επιτάχυνση/Επιβράδυνση",
"TxtCV29_Bit5","5. Μεγάλη δ/νση μηχανής",
"TxtCV29_Bit6","6. Παράμετρος κατασκευαστή 1",
"TxtCV29_Bit7","7. Παράμετρος κατασκευαστή 2",
"TxtCVAttention","Θέλετε σίγουρα να γράψετε την τιμή του CV στον αποκωδικοποιητή της μηχανής αυτής;",
"TxtCVAttentionTitle","Προσοχή - Ανάγνωση/Εγγραφή CV",
"TxtCVDCCLocAdrTitle","DCC Δημιουργία Δ/νσης και παραμετροποίηση",
"TxtID","ID",
"TxtOk","OK",
"TxtCancel","Άκυρο",
"TxtNo","Όχι",
"TxtVersion","Έκδοση",
"TxtLine","Γραμμή",
"TxtCommand","Εντολή",
"TxtFinish","Τερματισμός",
"TxtRunning","Λειτουργία",
"TxtParam","Param",
"TxtTrackBoxType","Type",
"Txt6021Off","OFF",
"TxtCfgAutoCloseSerial","Κλείσιμο σειριακής αν σταματήσει",
"TxtEmergency","EMERGENCY STOP",
"TxtAccReverseSignal","Σήμα αντιστροφής",
"TxtCraneType","Τύπος Crane",
"TxtCfgClearAcc","Καθαρισμός παρελκομένων με την εκκίνσηση",
TxtCfgConnectType,"Τύπος σύνδεσης",
TxtCfgConnectType1,"Σειριακή πόρτα",
TxtCfgConnectType2,"HTTP/Web",
TxtCfgConnectType3,"Προσομοίωση",
TxtCfgHTTPWeb,"HTTP/Web Ιδιότητες",
TxtCfgIPAddress,"Διεύθυνση IP",

